split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
80,0.666,all,60-70%,39520,0.9811234817813765,0.9794491589728904,0.9809351573928441,0.981808593853229,0.9811234817813765
80,0.666,all,70-80%,89391,0.9888243782931168,0.9875289535681139,0.9886622815397271,0.9889769618434544,0.9888243782931168
80,0.666,all,80-90%,74,0.918918918918919,0.902692755307443,0.9240556345819503,0.9436936936936936,0.918918918918919
80,0.666,all,90-100%,3,1.0,1.0,1.0,1.0,1.0
80,0.666,above_threshold,0-10%,1,0.0,,0.0,0.0,0.0
80,0.666,above_threshold,10-20%,6,0.3333333333333333,0.2760262237369417,0.27777777777777773,0.25,0.3333333333333333
80,0.666,above_threshold,20-30%,24,0.5833333333333334,0.5519271592396481,0.5577380952380953,0.5972222222222222,0.5833333333333334
80,0.666,above_threshold,30-40%,486,0.9609053497942387,0.9583427455135474,0.9605385194232445,0.9643631921168152,0.9609053497942387
80,0.666,above_threshold,40-50%,3332,0.9864945978391356,0.9855444906437527,0.9863703713869507,0.9870338160947162,0.9864945978391356
80,0.666,above_threshold,50-60%,12816,0.9925093632958801,0.9918422270713965,0.9924439726727589,0.992625585617449,0.9925093632958801
80,0.666,above_threshold,60-70%,38240,0.9961297071129707,0.9957718153940069,0.99611070949141,0.996139034107448,0.9961297071129707
80,0.666,above_threshold,70-80%,87816,0.9975175366675777,0.9972218190100083,0.9975111200124709,0.997525821918633,0.9975175366675777
80,0.666,above_threshold,80-90%,67,0.9701492537313433,0.9626998660403949,0.9774810159727677,0.990049751243781,0.9701492537313433
80,0.666,above_threshold,90-100%,3,1.0,1.0,1.0,1.0,1.0
80,0.666,below_threshold,10-20%,64,0.109375,0.001432747805787157,0.11385241596638655,0.14378720238095236,0.109375
80,0.666,below_threshold,20-30%,464,0.1810344827586207,0.07491110749114911,0.15947185902580804,0.2034728314025387,0.1810344827586207
80,0.666,below_threshold,30-40%,455,0.2681318681318681,0.19184821226953483,0.24587717048847527,0.2700150943435772,0.2681318681318681
80,0.666,below_threshold,40-50%,419,0.3937947494033413,0.3708609935497907,0.42259441143403337,0.5330424789827581,0.3937947494033413
80,0.666,below_threshold,50-60%,744,0.4717741935483871,0.44763596724771526,0.48813551715502485,0.5854716469490868,0.4717741935483871
80,0.666,below_threshold,60-70%,1280,0.5328125,0.5115936908695202,0.5617816144177575,0.6701189064052675,0.5328125
80,0.666,below_threshold,70-80%,1575,0.5041269841269841,0.4828098355201295,0.5313508676431474,0.6347447654804758,0.5041269841269841
80,0.666,below_threshold,80-90%,7,0.42857142857142855,0.3847418820319328,0.47619047619047616,0.5714285714285714,0.42857142857142855
90,0.666,all,10-20%,61,0.16393442622950818,0.06221504661429149,0.13608202204068207,0.1186272743649793,0.16393442622950818
90,0.666,all,20-30%,499,0.21042084168336672,0.11829271696271312,0.18979812773951504,0.25345573546470485,0.21042084168336672
90,0.666,all,30-40%,824,0.5995145631067961,0.578908431372413,0.6045015432306738,0.661548099959257,0.5995145631067961
90,0.666,all,40-50%,3077,0.9356516087097823,0.9312478143589449,0.9356886527873108,0.940167399394768,0.9356516087097823
90,0.666,all,50-60%,10199,0.9736248651828611,0.9713948159752269,0.9733304247307993,0.9738661664039329,0.9736248651828611
90,0.666,all,60-70%,22437,0.9827071355350537,0.9810706599364415,0.9827720657010603,0.9835829570604268,0.9827071355350537
90,0.666,all,70-80%,40789,0.9880114736816299,0.9868023706141394,0.987960214641596,0.9881298401436868,0.9880114736816299
90,0.666,all,80-90%,74618,0.9901632313918893,0.9890941430771083,0.9901946985008491,0.9905112641248485,0.9901632313918893
90,0.666,all,90-100%,30,1.0,1.0,1.0,1.0,1.0
90,0.666,above_threshold,10-20%,2,0.0,-0.5,0.0,0.0,0.0
90,0.666,above_threshold,20-30%,28,0.42857142857142855,0.4056338028169014,0.4404761904761906,0.5607142857142857,0.42857142857142855
90,0.666,above_threshold,30-40%,417,0.9448441247002398,0.9410232809604464,0.9506011092656208,0.9629775288418961,0.9448441247002398
90,0.666,above_threshold,40-50%,2814,0.9825870646766169,0.9812898282483868,0.982278825511948,0.9830139978716081,0.9825870646766169
90,0.666,above_threshold,50-60%,9842,0.9925828083722821,0.9919328371507191,0.9924258574779715,0.9927067124187177,0.9925828083722821
90,0.666,above_threshold,60-70%,21937,0.9943930345990791,0.9938495211623941,0.9944789571755858,0.9948057460406283,0.9943930345990791
90,0.666,above_threshold,70-80%,40041,0.9969031742463974,0.996584531572281,0.996885019065448,0.9969391455200073,0.9969031742463974
90,0.666,above_threshold,80-90%,73450,0.9973995915588836,0.9971124879426255,0.997420684513143,0.9975246320014238,0.9973995915588836
90,0.666,above_threshold,90-100%,30,1.0,1.0,1.0,1.0,1.0
90,0.666,below_threshold,10-20%,59,0.1694915254237288,0.06862829130503972,0.14591009579955783,0.1303780964797914,0.1694915254237288
90,0.666,below_threshold,20-30%,471,0.19745222929936307,0.09493845653322436,0.1703927967590074,0.21128667272646784,0.19745222929936307
90,0.666,below_threshold,30-40%,407,0.2457002457002457,0.17577845049017551,0.23983490376972175,0.29234120481477777,0.2457002457002457
90,0.666,below_threshold,40-50%,263,0.43346007604562736,0.4056038673282396,0.46160400528184575,0.5650891193552104,0.43346007604562736
90,0.666,below_threshold,50-60%,357,0.45098039215686275,0.4261003540784408,0.4708958554900136,0.5585344144705641,0.45098039215686275
90,0.666,below_threshold,60-70%,500,0.47,0.44671640853716016,0.5003220433430403,0.6163768601468399,0.47
90,0.666,below_threshold,70-80%,748,0.5120320855614974,0.49068042899641817,0.5331851531896685,0.6135854353414746,0.5120320855614974
90,0.666,below_threshold,80-90%,1168,0.5351027397260274,0.5134825998003625,0.5569654556907117,0.6360878943582593,0.5351027397260274
